ESTACIÓN,ESTE,NORTE,ALTITUD,PERIODO DE
,(m),(m),(m.s.n.m.),registro
Ananea,442478,8377171,4660,1964-2014
Arapa,379823,8326267,3892,1964-2014
Azangaro,371927,8350803,3863,1964-2014
Cabanillas,355675,8270502,3877,1964-2014
Capachica,409496,8273379,3827,1964-2014
Chuquibambilla,313519,8364727,3899,1964-2014
Cojata,314196,8364155,3971,1964-2014
Crucero,460905,8338831,4380,1964-2014
Crucero Alto,294710,8256213,4508,1965-2009
Desaguadero,495691,8168147,3813,1965-2014
Huancane,419061,8319247,3890,1964-2014
Huaraya Moho,448031,8298670,3890,1964-2014
Ilave,430990,8221164,3837,1964-2014
Juli,450813,8208437,3814,1965-2014
Lampa,352861,8301728,3929,1964-2014
Mazocruz,424708,8149030,3963,1964-2014
Pampahuta,320200,8287459,4292,1964-2014
Pizacoma,460721,8130662,3913,1964-2014
Progreso,358486,8372713,3980,1964-2014
Puno,390979,8250334,3931,1964-2014
Putina,406670,8350936,3878,1964-2014
Santa Rosa,306894,8383183,3996,1967-2014
